1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,9
1,2,10
1,2,11
1,2,13
1,2,14
1,2,15
1,3,3
1,3,4
1,3,5
1,3,9
1,3,10
1,3,11
1,3,15
1,3,16
1,4,3
1,4,4
1,4,16
1,5,2
1,5,3
1,5,8
1,5,9
1,5,10
1,5,11
1,5,12
1,5,13
1,5,14
1,5,16
1,5,17
1,6,2
1,6,3
1,6,5
1,6,8
1,6,9
1,6,10
1,6,13
1,6,14
1,6,15
1,6,17
1,7,1
1,7,2
1,7,4
1,7,5
1,7,8
1,7,9
1,7,10
1,7,15
1,7,17
1,8,1
1,8,2
1,8,4
1,8,7
1,8,15
1,8,17
1,8,18
1,9,0
1,9,1
1,9,4
1,9,7
1,9,15
1,9,18
1,10,0
1,10,1
1,10,4
1,10,7
1,10,12
1,10,18
1,11,0
1,11,1
1,11,7
2,11,9
1,11,12
4,11,17
1,11,18
1,12,0
1,12,1
1,12,7
1,12,12
1,12,18
1,13,0
1,13,1
1,13,4
1,13,11
1,13,15
1,13,18
1,14,1
1,14,2
1,14,4
1,14,11
1,14,15
1,14,17
1,14,18
1,15,1
1,15,2
1,15,4
1,15,5
1,15,8
1,15,9
1,15,10
1,15,15
1,15,17
1,15,18
1,16,1
1,16,2
1,16,3
1,16,5
1,16,8
1,16,9
1,16,10
1,16,14
1,16,17
1,17,2
1,17,3
1,17,5
1,17,8
1,17,9
1,17,10
1,17,13
1,17,16
1,17,17
1,18,3
1,18,4
1,18,13
1,18,16
1,19,4
1,19,5
1,19,8
1,19,9
1,19,10
1,19,11
1,19,13
1,19,15
1,19,16
1,20,5
1,20,6
1,20,7
1,20,8
1,20,9
1,20,10
1,20,11
1,20,13
1,20,14
1,20,15
1,21,5
1,21,6
1,21,7
1,21,8
1,21,9
1,21,10
1,21,11
1,21,12
1,21,13
